Main Activity,Sub-Activity,Hazard,Initial_L,Initial_S,Initial_Risk,Control_Measures,Residual_L,Residual_S,Residual_Risk
Excavation,Earthworks,Worker struck by reversing dump truck in active excavation zone,4,5,20,Use spotter and reversing alarms,2,5,10
Excavation,Backfilling,Entrapment hazard due to sudden collapse of partially filled trench,4,5,20,Compact layers and control access,2,5,10
Lifting Operations,Crane lifting,Load dropped when lifting gear fails under excessive load,4,5,20,Verify load limits and inspect gear,2,5,10
Lifting Operations,Crane operation,Collision with adjacent structure due to poor lift path planning,3,5,15,Plan lift path and ensure clearance,2,5,10
Lifting Operations,Rigging,Improper securing of load leading to shift during lifting,3,4,12,Ensure correct rigging techniques,2,3,6
Lifting Operations,Material lifting,Sudden load swing due to abrupt crane movement,3,5,15,Operate crane smoothly and use taglines,2,5,10
Lifting Operations,Mobile crane,Instability caused by ground subsidence under outriggers,3,5,15,Assess ground bearing capacity,2,5,10
Concrete Works,Concrete pouring,Formwork collapse due to uneven distribution of concrete load,4,5,20,Monitor pour sequence and load distribution,2,5,10
Concrete Works,Rebar work,Worker trips over scattered reinforcement materials on walkway,3,3,9,Maintain clear access routes,2,2,4
Concrete Works,Formwork removal,Fall during dismantling due to lack of proper working platform,4,5,20,Provide proper access platforms; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip hazard caused by wet slurry left unattended,3,2,6,Clean area promptly,2,2,4
Concrete Works,Mixing,Exposure to airborne cement particles during dry mixing process,3,3,9,Use dust control measures,2,2,4
Welding Works,Arc welding,Eye injury from exposure to welding arc without proper shield,3,3,9,Ensure use of welding helmet,1,2,2
Welding Works,Hot work,Fire initiated by sparks landing on combustible insulation material,3,5,15,Remove combustible materials; Obtain hot work permit and station fire extinguisher,1,5,5
Welding Works,Gas cutting,Explosion risk due to leaking gas hose connection,3,5,15,Inspect hoses and secure fittings; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from contact with hot metal debris,3,4,12,Wear protective clothing,2,3,6
Welding Works,Confined welding,Toxic fumes accumulating in enclosed workspace,3,5,15,Install exhaust ventilation system,1,5,5
Material Handling,Manual lifting,Strain injury from lifting loads beyond safe weight limits,4,3,12,Provide mechanical lifting aids,2,2,4
Material Handling,Manual handling,Injury caused by awkward posture while carrying bulky items,3,3,9,Train on safe handling techniques,2,2,4
Material Handling,Forklift operation,Collision with worker due to blind corner in warehouse layout,4,5,20,Install mirrors and signage,2,5,10
Material Handling,Forklift use,Load falling during transport due to unstable stacking,3,4,12,Secure load before movement; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of stored materials due to improper stacking arrangement,3,4,12,Follow stacking guidelines,2,3,6
Demolition,Wall demolition,Unexpected collapse during partial removal of structure,4,5,20,Follow engineered demolition sequence,2,5,10
Demolition,Concrete breaking,Flying fragments causing injuries to nearby workers,4,4,16,Install protective barriers,2,3,6
Demolition,Structural demolition,Failure due to removal of key structural supports prematurely,4,5,20,Conduct engineering review,2,5,10
Demolition,Interior work,Dust exposure from demolition activities affecting breathing,3,3,9,Use dust suppression and PPE; Provide respiratory mask and ensure ventilation,2,2,4
Demolition,Equipment use,Hearing damage from prolonged exposure to demolition noise,4,3,12,Provide hearing protection,2,2,4
Confined Space,Tank entry,Exposure to toxic atmosphere due to insufficient pre-entry testing,3,5,15,Conduct gas testing before entry,1,5,5
Confined Space,Sewer work,Oxygen deficiency caused by displacement from other gases,3,5,15,Use continuous gas monitoring,1,5,5
Confined Space,Maintenance,Delayed rescue due to lack of standby personnel,3,5,15,Assign trained standby personnel,1,5,5
Confined Space,Inspection,Heat stress due to high temperature in enclosed area,3,4,12,Provide ventilation and rest breaks,2,3,6
Confined Space,Entry,Slip hazard due to wet internal surfaces and poor footing,3,3,9,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Inhalation of paint vapors in poorly ventilated indoor area,3,3,9,Provide ventilation and respirators,2,2,4
Chemical Handling,Solvent use,Fire caused by ignition of volatile solvent vapors,3,5,15,Eliminate ignition sources; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Mixing,Toxic gas release due to mixing incompatible chemicals,3,5,15,Follow SDS instructions strictly; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Leakage from improperly sealed chemical containers,3,4,12,Inspect and seal containers properly; Wear chemical resistant gloves and protective apron,2,3,6
Chemical Handling,Application,Skin irritation from repeated exposure to chemical agents,3,3,9,Use protective gloves and clothing; Wear chemical resistant gloves and protective apron,2,2,4
Piling Works,Bored piling,Borehole collapse due to unstable subsurface conditions,3,5,15,Install casing and monitor soil,2,5,10
Piling Works,Pile driving,Noise exposure exceeding safe limits during prolonged operations,4,3,12,Use hearing protection,2,2,4
Piling Works,Setup,Instability of piling rig due to uneven or soft ground,3,5,15,Prepare stable working platform,2,5,10
Piling Works,Drilling,Damage to buried utilities during drilling operation,3,5,15,Conduct utility survey,1,5,5
Piling Works,Operation,Worker struck by moving piling equipment,4,5,20,Define restricted zones,2,5,10
Site Preparation,Land clearing,Worker struck by moving excavator due to limited visibility,4,5,20,Use trained spotter,2,5,10
Site Preparation,Grading,Vehicle losing traction on wet and loose soil surface,3,4,12,Stabilize and compact ground,2,3,6
Site Preparation,Cleanup,Injury caused by sharp debris during manual handling,3,3,9,Wear appropriate PPE,2,2,4
Site Preparation,Temporary access,Trip hazard from uneven temporary walkways,3,2,6,Maintain even walking surfaces,2,2,4
Site Preparation,General work,Dust inhalation due to dry environmental conditions,3,3,9,Apply water suppression techniques; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold work,Fall due to missing guardrails during early morning setup,4,5,20,Install guardrails before access; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip on dusty roof surface reducing traction,3,5,15,Clean surface and use anti-slip footwear,2,5,10
Work at Height,Facade work,Fall while repositioning platform without securing harness,4,5,20,Ensure harness is anchored at all times,2,5,10
Work at Height,Inspection,Fall due to poor visibility during night inspection,3,5,15,Provide adequate lighting; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Loss of balance while carrying tools up ladder,3,4,12,Use tool belt and maintain three-point contact; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Fall caused by sudden movement of mobile platform,3,5,15,Stabilize platform and train operators; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall due to stepping on unsecured temporary cover,4,5,20,Secure covers and mark clearly,2,5,10
Work at Height,Roof access,Fall while accessing roof without proper access point,4,5,20,Provide safe access system; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall due to distraction from nearby simultaneous work,3,5,15,Implement work coordination; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall during dismantling due to removal of guardrails prematurely,4,5,20,Follow dismantling sequence; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable work,Electric shock due to damaged insulation on cable,3,5,15,Inspect cables before use; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash due to loose terminal connections,3,5,15,Tighten connections and inspect; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock from unexpected backfeed in system,3,5,15,Verify isolation from all sources,1,5,5
Electrical Works,Installation,Contact with live wire during drilling operation,3,5,15,Use cable detection equipment; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary wiring,Overheating due to overloading of extension cables,3,4,12,Use proper rated cables,2,3,6
Electrical Works,Inspection,Shock hazard from exposed conductive parts,3,5,15,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash during testing of energized equipment,3,5,15,Use arc-rated PPE,1,5,5
Electrical Works,Repair,Shock due to use of faulty tools,3,5,15,Inspect tools regularly; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Incorrect wiring causing short circuit,3,4,12,Follow wiring diagrams,2,3,6
Electrical Works,DB setup,Fire risk due to improper load distribution,3,4,12,Balance electrical load; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Collapse due to loose sandy soil without support,4,5,20,Install trench support,2,5,10
Excavation,Deep excavation,Wall collapse after prolonged exposure to weather,4,5,20,Provide reinforcement systems,2,5,10
Excavation,Utility excavation,Damage to underground cable causing hazard,3,5,15,Conduct utility scan,1,5,5
Excavation,Earthworks,Worker struck by moving excavator,4,5,20,Use banksman,2,5,10
Excavation,Backfilling,Entrapment due to collapse during compaction,4,5,20,Control compaction process,2,5,10
Excavation,Pit excavation,Fall into open pit due to lack of barricade,3,4,12,Install barriers; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Injury from sharp buried object,3,3,9,Use PPE and tools,2,2,4
Excavation,Trenching,Water ingress weakening trench structure,4,5,20,Provide dewatering system,2,5,10
Excavation,Excavation near road,Collapse due to traffic vibration,4,5,20,Monitor and reinforce walls; Wear hearing protection and ear defenders,2,5,10
Excavation,Excavation work,Worker slipping into trench due to loose soil,3,4,12,Maintain safe edges,2,3,6
Lifting Operations,Crane lifting,Load dropped due to sling failure under stress,4,5,20,Inspect lifting gear,2,5,10
Lifting Operations,Crane work,Collision with structure due to poor planning,3,5,15,Plan lifting path,2,5,10
Lifting Operations,Rigging,Improper sling angle causing imbalance,3,4,12,Train riggers; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Material lifting,Load swing hitting workers during lifting,3,5,15,Use taglines,2,5,10
Lifting Operations,Mobile crane,Crane instability on uneven terrain,3,5,15,Level ground,2,5,10
Lifting Operations,Hoisting,Load falling due to improper securing,4,5,20,Secure load properly; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane lifting,Hook disengagement causing load drop,4,5,20,Use safety latch hooks,2,5,10
Lifting Operations,Material handling,Load shift during lifting due to uneven weight,3,4,12,Balance load,2,3,6
Lifting Operations,Crane operation,Operator error due to fatigue,3,5,15,Provide rest breaks,2,5,10
Lifting Operations,Rigging,Hand injury during rigging setup,3,3,9,Wear gloves,2,2,4
Concrete Works,Concrete pouring,Formwork collapse due to excessive pressure,4,5,20,Follow design limits,2,5,10
Concrete Works,Rebar work,Injury from exposed reinforcement bars,3,5,15,Install caps,2,4,8
Concrete Works,Formwork removal,Fall from height during dismantling,4,5,20,Use fall protection; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip due to wet surface,3,2,6,Maintain housekeeping,2,2,4
Concrete Works,Mixing,Dust inhalation during mixing process,3,3,9,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Concrete Works,Pouring,Concrete splash causing skin irritation,3,3,9,Use protective clothing,2,2,4
Concrete Works,Transport,Injury from moving concrete buckets,3,4,12,Control movement,2,3,6
Concrete Works,Formwork erection,Collapse due to improper installation,4,5,20,Inspect before use,2,5,10
Concrete Works,Finishing,Trip hazard due to tools left on surface,3,2,6,Maintain housekeeping,2,2,4
Concrete Works,Material handling,Back injury from lifting cement bags,4,3,12,Use lifting aids,2,2,4
Welding Works,Arc welding,Eye injury from arc exposure,3,3,9,Wear welding helmet,1,2,2
Welding Works,Hot work,Fire caused by sparks near flammable materials,3,5,15,Clear flammables,1,5,5
Welding Works,Gas cutting,Gas leak causing explosion risk,3,5,15,Check connections; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from sparks,3,4,12,Use PPE; Obtain hot work permit and station fire extinguisher,2,3,6
Welding Works,Confined welding,Fume accumulation causing inhalation risk,3,5,15,Provide ventilation,1,5,5
Welding Works,Arc welding,Electric shock from welding machine,3,5,15,Inspect equipment; Apply lockout tagout and use insulated gloves,1,5,5
Welding Works,Hot work,Burn injury from hot surfaces,3,4,12,Use gloves,2,3,6
Welding Works,Gas cutting,Improper cylinder handling causing hazard,3,5,15,Secure cylinders,1,5,5
Welding Works,Grinding,Eye injury from flying particles,3,3,9,Use face shield,2,2,4
Welding Works,Hot work,Fire risk due to poor housekeeping,3,5,15,Maintain clean area; Obtain hot work permit and station fire extinguisher,1,5,5
Work at Height,Scaffold work,Fall due to simultaneous work causing distraction and loss of balance,3,5,15,Coordinate activities and enforce exclusion zones; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Fall caused by strong wind while handling large materials,3,5,15,Monitor weather and secure materials; Use safety harness and lanyard at all times,2,5,10
Work at Height,Facade cleaning,Slip due to wet surface combined with improper footwear,3,5,15,Use anti-slip footwear and harness,2,5,10
Work at Height,Inspection,Fall due to misjudging edge distance in low light conditions,3,5,15,Improve lighting and mark edges; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall caused by overreaching while performing task at height,3,4,12,Reposition ladder frequently; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Loss of balance due to sudden equipment vibration,3,5,15,Stabilize equipment before use; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall due to fatigue during extended working hours,3,5,15,Implement work-rest cycles; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof access,Fall due to improper access route combined with slippery surface,4,5,20,Provide safe access and anti-slip measures; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall while avoiding moving equipment near edge,3,5,15,Separate work zones; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall due to miscommunication between workers during dismantling,4,5,20,Use clear communication protocol,2,5,10
Electrical Works,Cable work,Electric shock due to wet conditions combined with damaged insulation,3,5,15,Ensure dry environment and inspect cables; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash due to incorrect sequence during maintenance,3,5,15,Follow proper procedure and supervision; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock caused by assumption of isolation without verification,3,5,15,Test before touch; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Contact with hidden live wiring due to lack of updated drawings,3,5,15,Verify drawings and scan area,1,5,5
Electrical Works,Temporary wiring,Fire risk from cable overheating in confined routing area,3,4,12,Ensure ventilation and load control,2,3,6
Electrical Works,Inspection,Shock from exposed terminals due to missing covers,3,5,15,Install covers immediately; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash during energization under time pressure,3,5,15,Avoid rushing and follow permit system; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Electric shock from faulty grounding system,3,5,15,Check grounding before work; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Short circuit caused by incorrect wiring under poor lighting,3,4,12,Improve lighting and double-check wiring,2,3,6
Electrical Works,DB setup,Fire due to uneven load distribution and overheating,3,4,12,Balance loads and monitor temperature; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Collapse due to combined effects of water ingress and vibration,4,5,20,Provide shoring and monitor vibration; Wear hearing protection and ear defenders,2,5,10
Excavation,Deep excavation,Wall failure caused by prolonged exposure and poor drainage,4,5,20,Install drainage and support systems,2,5,10
Excavation,Utility excavation,Gas leak due to accidental strike of underground pipeline,3,5,15,Use detection tools and permits; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck due to blind spot and poor communication,4,5,20,Assign banksman and communication system,2,5,10
Excavation,Backfilling,Entrapment due to collapse during compaction with heavy equipment,4,5,20,Control compaction sequence,2,5,10
Excavation,Pit excavation,Fall into excavation during low visibility conditions,3,4,12,Install lighting and barricades; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Injury from sharp objects hidden in soil,3,3,9,Use protective gloves,2,2,4
Excavation,Trenching,Soil collapse caused by surcharge load near trench edge,4,5,20,Keep loads away from edge; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation near structure,Foundation instability due to adjacent excavation,4,5,20,Conduct structural assessment,2,5,10
Excavation,Excavation work,Slip into trench due to loose soil and wet surface,3,4,12,Maintain stable access,2,3,6
Lifting Operations,Crane lifting,Load drop due to simultaneous lifting and miscommunication,4,5,20,Use designated signalman,2,5,10
Lifting Operations,Crane work,Collision due to limited visibility and congested site conditions,3,5,15,Improve site layout and visibility,2,5,10
Lifting Operations,Rigging,Load instability caused by uneven weight and incorrect sling use,3,4,12,Ensure load balance,2,3,6
Lifting Operations,Material lifting,Load swing due to sudden wind and poor control,3,5,15,Monitor weather and use taglines,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to combined soft ground and overload,3,5,15,Assess ground and load capacity,2,5,10
Lifting Operations,Hoisting,Load falling due to improper securing under rushed conditions,4,5,20,Verify securing before lift; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane lifting,Hook disengagement due to improper locking and vibration,4,5,20,Check hook safety latch; Wear hearing protection and ear defenders,2,5,10
Lifting Operations,Material handling,Load shift due to uneven distribution and sudden stop,3,4,12,Stabilize load,2,3,6
Lifting Operations,Crane operation,Operator fatigue leading to delayed reaction,3,5,15,Provide rest breaks,2,5,10
Lifting Operations,Rigging,Hand injury during rigging due to lack of coordination,3,3,9,Ensure clear communication,2,2,4
Concrete Works,Concrete pouring,Formwork collapse due to combined overloading and poor support,4,5,20,Inspect and follow design limits,2,5,10
Concrete Works,Rebar work,Trip hazard from scattered materials and poor housekeeping,3,3,9,Maintain clean work area,2,2,4
Concrete Works,Formwork removal,Fall during dismantling due to unstable working platform,4,5,20,Provide proper access; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip due to wet surface and poor lighting conditions,3,2,6,Improve lighting and housekeeping,2,2,4
Concrete Works,Mixing,Dust inhalation due to dry mixing and poor ventilation,3,3,9,Use masks and ventilation,2,2,4
Concrete Works,Pouring,Skin irritation due to prolonged contact with wet concrete,3,3,9,Use protective clothing,2,2,4
Concrete Works,Transport,Injury due to uncontrolled movement of concrete bucket,3,4,12,Control lifting operations,2,3,6
Concrete Works,Formwork erection,Collapse due to incorrect installation under time pressure,4,5,20,Inspect installation,2,5,10
Concrete Works,Finishing,Trip hazard due to tools left on walking path,3,2,6,Maintain housekeeping,2,2,4
Concrete Works,Material handling,Back injury due to repetitive lifting without rest,4,3,12,Provide rest and aids,2,2,4
Welding Works,Arc welding,Eye injury due to missing or improper eye protection,3,3,9,Use approved welding helmet,1,2,2
Welding Works,Hot work,Fire caused by sparks in poorly maintained work area,3,5,15,Maintain housekeeping; Obtain hot work permit and station fire extinguisher,1,5,5
Welding Works,Gas cutting,Explosion risk from improper cylinder storage and handling,3,5,15,Secure and store cylinders properly; Obtain hot work permit and station fire extinguisher,1,5,5
Welding Works,Grinding,Burn injury from contact with hot fragments,3,4,12,Use protective clothing,2,3,6
Welding Works,Confined welding,Fume accumulation causing respiratory hazard,3,5,15,Provide ventilation,1,5,5
Welding Works,Arc welding,Electric shock from damaged welding cables,3,5,15,Inspect equipment; Apply lockout tagout and use insulated gloves,1,5,5
Welding Works,Hot work,Burn injury from contact with heated surfaces,3,4,12,Use gloves,2,3,6
Welding Works,Gas cutting,Fire hazard due to gas leakage near ignition source,3,5,15,Check leaks and isolate sources; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Eye injury from flying particles due to lack of protection,3,3,9,Use face shield,2,2,4
Welding Works,Hot work,Fire risk due to accumulation of combustible waste,3,5,15,Remove waste materials; Obtain hot work permit and station fire extinguisher,1,5,5
Material Handling,Manual lifting,Muscle strain due to repetitive lifting under time pressure,4,3,12,Provide mechanical aids,2,2,4
Material Handling,Manual handling,Hand injury due to improper grip on sharp materials,3,3,9,Use gloves,2,2,4
Material Handling,Forklift operation,Collision due to congested work area and poor visibility,4,5,20,Improve layout and signage,2,5,10
Material Handling,Forklift use,Load falling due to sudden braking and unstable stacking,3,4,12,Secure load properly; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of materials due to uneven stacking base,3,4,12,Ensure stable stacking,2,3,6
Demolition,Wall demolition,Collapse due to uncontrolled demolition sequence,4,5,20,Follow engineered sequence,2,5,10
Demolition,Concrete breaking,Flying debris causing injuries in nearby area,4,4,16,Install barriers,2,3,6
Demolition,Structural demolition,Collapse due to removal of critical supports,4,5,20,Conduct structural review,2,5,10
Demolition,Interior work,Dust inhalation due to lack of suppression measures,3,3,9,Use water spray; Provide respiratory mask and ensure ventilation,2,2,4
Demolition,Equipment use,Hearing damage from prolonged noise exposure,4,3,12,Provide ear protection,2,2,4
Confined Space,Tank entry,Toxic gas exposure due to inadequate ventilation and monitoring,3,5,15,Ventilate and monitor continuously; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Sewer work,Oxygen deficiency due to displacement by other gases,3,5,15,Use gas detectors,1,5,5
Confined Space,Maintenance,Delayed rescue due to lack of trained standby personnel,3,5,15,Assign trained standby,1,5,5
Confined Space,Inspection,Heat stress due to poor airflow and high temperature,3,4,12,Provide ventilation and rest breaks,2,3,6
Confined Space,Entry,Slip hazard due to wet surfaces and limited space,3,3,9,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Inhalation of fumes due to poor ventilation in enclosed area,3,3,9,Provide ventilation,2,2,4
Chemical Handling,Solvent use,Fire caused by ignition of flammable vapors,3,5,15,Eliminate ignition sources; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Mixing,Toxic reaction due to mixing incompatible chemicals,3,5,15,Follow SDS strictly; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Leakage due to damaged containers,3,4,12,Inspect containers,2,3,6
Chemical Handling,Application,Skin irritation due to repeated exposure,3,3,9,Use protective PPE,2,2,4
Piling Works,Bored piling,Collapse due to unstable soil and groundwater presence,3,5,15,Install casing and monitor,2,5,10
Piling Works,Pile driving,Noise exposure exceeding limits over long duration,4,3,12,Use hearing protection,2,2,4
Piling Works,Setup,Instability due to uneven and soft ground conditions,3,5,15,Prepare stable base,2,5,10
Piling Works,Drilling,Damage to underground utilities due to lack of survey,3,5,15,Conduct survey,1,5,5
Piling Works,Operation,Worker struck by moving piling equipment in restricted space,4,5,20,Define exclusion zone,2,5,10
Site Preparation,Land clearing,Worker struck by machinery due to poor visibility and coordination,4,5,20,Use spotter and signals,2,5,10
Site Preparation,Grading,Vehicle skidding due to wet and loose soil conditions,3,4,12,Stabilize surface,2,3,6
Site Preparation,Cleanup,Injury from sharp debris during manual handling,3,3,9,Wear gloves,2,2,4
Site Preparation,Temporary access,Trip hazard due to uneven and poorly maintained walkway,3,2,6,Maintain pathways,2,2,4
Site Preparation,General work,Dust inhalation due to dry weather and site conditions,3,3,9,Use water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold work,Fall due to stepping on unsecured plank during partial scaffold completion,4,5,20,Ensure planks are secured and inspected; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Loss of balance while carrying materials across uneven roof surface,3,5,15,Use proper access paths and fall protection; Use safety harness and lanyard at all times,2,5,10
Work at Height,Facade work,Fall caused by sudden wind while handling large panel at height,3,5,15,Suspend work during high wind conditions; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall due to distraction from simultaneous nearby activities,3,5,15,Implement work coordination plan; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall due to ladder placed on unstable ground surface,3,4,12,Secure ladder base and inspect ground; Use safety harness and lanyard at all times,2,3,6
Electrical Works,Cable installation,Electric shock from contact with energized cable during installation,3,5,15,Ensure complete isolation before work,1,5,5
Electrical Works,Panel maintenance,Arc flash caused by accidental bridging of terminals,3,5,15,Use insulated tools and PPE,1,5,5
Electrical Works,Inspection,Shock hazard due to missing insulation on exposed conductor,3,5,15,Reinstate insulation immediately; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary setup,Overheating of cables due to confined routing space,3,4,12,Improve cable routing and ventilation,2,3,6
Electrical Works,Testing,Shock during testing due to failure to confirm isolation,3,5,15,Test circuits before handling; Apply lockout tagout and use insulated gloves,1,5,5
Excavation,Trenching,Collapse due to unstable soil combined with heavy rainfall,4,5,20,Install trench support and drainage; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Wall failure caused by lack of reinforcement over time,4,5,20,Provide staged support system,2,5,10
Excavation,Utility excavation,Damage to underground services due to inaccurate survey data,3,5,15,Conduct detailed scanning,1,5,5
Excavation,Earthworks,Worker struck due to blind spot of moving machinery,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Entrapment hazard during compaction due to unstable trench wall,4,5,20,Stabilize trench before compaction,2,5,10
Lifting Operations,Crane lifting,Load dropped due to failure of worn lifting sling,4,5,20,Inspect and replace lifting gear,2,5,10
Lifting Operations,Crane operation,Collision with structure due to poor visibility during lift,3,5,15,Use signalman and cameras,2,5,10
Lifting Operations,Rigging,Improper load securing causing load shift during lifting,3,4,12,Ensure correct rigging technique,2,3,6
Lifting Operations,Material lifting,Load swing due to sudden crane movement in windy conditions,3,5,15,Use taglines and monitor weather,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to soft ground under outriggers,3,5,15,Assess ground bearing capacity,2,5,10
Concrete Works,Concrete pouring,Formwork collapse due to uneven load distribution during pouring,4,5,20,Control pour rate and inspect formwork,2,5,10
Concrete Works,Rebar work,Trip hazard caused by protruding reinforcement bars,3,3,9,Install protective caps,2,2,4
Concrete Works,Formwork removal,Fall due to unstable working surface during dismantling,4,5,20,Provide stable working platform; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip hazard due to slurry accumulation on surface,3,2,6,Maintain clean work area,2,2,4
Concrete Works,Mixing,Dust inhalation from dry cement mixing process,3,3,9,Use masks and ventilation,2,2,4
Welding Works,Arc welding,Eye injury from exposure to arc without proper shielding,3,3,9,Use approved welding helmet,1,2,2
Welding Works,Hot work,Fire caused by sparks contacting combustible materials nearby,3,5,15,Remove combustibles and assign fire watch,1,5,5
Welding Works,Gas cutting,Explosion risk due to leaking gas hose connection,3,5,15,Inspect and secure hoses; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from hot metal fragments,3,4,12,Wear protective clothing,2,3,6
Welding Works,Confined welding,Fume accumulation due to lack of ventilation,3,5,15,Provide exhaust ventilation,1,5,5
Material Handling,Manual lifting,Back strain from lifting heavy loads without assistance,4,3,12,Use mechanical aids,2,2,4
Material Handling,Manual handling,Hand injury from sharp material edges,3,3,9,Use gloves; Use safety harness and lanyard at all times,2,2,4
Material Handling,Forklift operation,Collision due to obstructed view while carrying load,4,5,20,Operate in reverse when vision blocked,2,5,10
Material Handling,Forklift use,Load falling due to improper stacking on pallet,3,4,12,Secure loads before transport; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of stacked materials due to uneven base,3,4,12,Ensure level stacking surface,2,3,6
Demolition,Wall demolition,Unexpected collapse due to hidden structural weakness,4,5,20,Conduct structural assessment,2,5,10
Demolition,Concrete breaking,Flying debris causing injury to nearby workers,4,4,16,Install protective barriers,2,3,6
Demolition,Structural demolition,Collapse due to removal of load-bearing components,4,5,20,Follow engineered demolition plan,2,5,10
Demolition,Interior work,Dust inhalation from demolition debris,3,3,9,Use dust suppression; Provide respiratory mask and ensure ventilation,2,2,4
Demolition,Equipment use,Noise exposure causing hearing damage,4,3,12,Provide hearing protection,2,2,4
Confined Space,Tank entry,Toxic gas exposure due to inadequate ventilation,3,5,15,Conduct gas testing and ventilate,1,5,5
Confined Space,Sewer work,Oxygen deficiency caused by gas displacement,3,5,15,Use continuous monitoring; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Maintenance,Delayed rescue due to lack of standby personnel,3,5,15,Assign trained standby,1,5,5
Confined Space,Inspection,Heat stress due to confined environment and poor airflow,3,4,12,Provide ventilation and breaks,2,3,6
Confined Space,Entry,Slip hazard from wet confined surfaces,3,3,9,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Inhalation of paint fumes in enclosed space,3,3,9,Provide ventilation and respirators,2,2,4
